Time,controller_network_latency.mean {controllerid: 2828},controller_network_latency.mean {controllerid: 2830},controller_network_latency.mean {controllerid: 2831},controller_network_latency.mean {controllerid: 2832},controller_network_latency.mean {controllerid: 2833},controller_network_latency.mean {controllerid: 2834},controller_network_latency.mean {controllerid: 2835},controller_network_latency.mean {controllerid: 2836},controller_network_latency.mean {controllerid: 2837},controller_network_latency.mean {controllerid: 2838},controller_network_latency.mean {controllerid: 2839},controller_network_latency.mean {controllerid: 2840},controller_network_latency.mean {controllerid: 2841},controller_network_latency.mean {controllerid: 2842},controller_network_latency.mean {controllerid: 2843},controller_network_latency.mean {controllerid: 2844},controller_network_latency.mean {controllerid: 2845},controller_network_latency.mean {controllerid: 2846},controller_network_latency.mean {controllerid: 2847},controller_network_latency.mean {controllerid: 2848},controller_network_latency.mean {controllerid: 2849},controller_network_latency.mean {controllerid: 2850},controller_network_latency.mean {controllerid: 2851},controller_network_latency.mean {controllerid: 2852},controller_network_latency.mean {controllerid: 2853},controller_network_latency.mean {controllerid: 2854},controller_network_latency.mean {controllerid: 2855},controller_network_latency.mean {controllerid: 2856},controller_network_latency.mean {controllerid: 2857},controller_network_latency.mean {controllerid: 2858},controller_network_latency.mean {controllerid: 2859},controller_network_latency.mean {controllerid: 2860},controller_network_latency.mean {controllerid: 2861},controller_network_latency.mean {controllerid: 4416},controller_network_latency.mean {controllerid: 8083},controller_network_latency.mean {controllerid: 8084}
1633285800000,7.831,,8.141,6.877,,6.256,17.441,7.938,7.391,7.749,,,18.693,7.4,7.079,17.092,7.725,8.11,14.61,,7.834,8.114,7.83,,17.607,6.937,,7.204,7.509,9.98,17.478,,,5.228,,
1633285860000,6.748,5.344,10.573,18.275,20.739,6.754,7.613,6.848,,,7.496,7.818,7.673,8.027,6.778,6.909,7.655,19.404,15.04,7.189,6.427,7.279,20.702,8.504,6.675,7.31,,7.869,6.908,,18.888,15.977,7.643,5.936,6.377,4.905
1633285920000,23.751,5.948,,,9.229,,,,8.044,9.533,6.874,7.242,7.443,9.253,7.24,7.752,,7.677,12.427,7.389,,,6.737,6.904,6.945,,,8.955,19.729,7.556,6.566,6.954,19.57,4.71,5.148,6.09
1633285980000,58.545,5.791,7.118,8.065,8.103,7.319,8.379,7.944,8.546,12.685,18.276,7.19,7.793,,,7.669,6.266,7.675,14.134,6.621,7.333,17.6,9.814,6.838,,7.093,,8.262,,6.694,,11.476,17.67,,5.507,6.041
1633286040000,,5.779,95.919,70.228,15.688,98.806,6.936,18.449,6.794,6.771,7.927,19.409,,9.334,19.801,,7.879,,,7.3,19.801,18.638,,,5.919,6.162,,,7.888,7.859,17.785,38.875,17.592,4.969,5.915,5.864
1633286100000,14.087,5.512,8.043,6.427,,7.17,6.826,8.613,7.288,8.253,,,8.144,6.054,8.309,8.092,7.688,8.052,15.527,,8.429,7.585,9.643,8.229,17.679,8.382,,7.865,19.535,7.333,6.573,,,6.755,5.131,4.734
1633286160000,35.129,,45.679,62.322,7.721,89.789,7.562,6.642,,,7.918,7.281,8.331,8.352,8.531,19.371,6.985,7.229,11.708,7.291,7.729,6.899,8.431,8.508,7.922,7.796,,6.852,17.773,,6.136,23.759,33.082,6.468,,
1633286220000,5.932,5.441,,,6.953,,,,6.6,8.095,7.046,7.409,8.373,7.315,,6.676,,9.495,13.956,18.866,,,9.416,7.675,7.804,,,7.714,9.053,21.704,5.903,7.087,6.4,5.176,6.875,5.832
1633286280000,18.357,5.387,6.363,6.246,6.726,46.414,7.743,7.566,28.513,8.738,7.203,6.981,8.739,,7.277,7.81,7.411,7.859,14.969,7.694,17.564,8.719,8.506,19.438,,7.283,,7.964,,7.669,,7.823,11.643,6.624,6.088,4.695
1633286340000,,5.992,8.187,7.929,24.11,7.602,7.435,19.669,7.813,7.242,26.387,7.446,,8.879,7.906,,8.71,,,18.938,7.618,7.346,,,9.727,6.769,,,9.349,7.077,8.239,37.597,26.521,,6.048,6.387
1633286400000,52.497,6.354,25.39,49.109,,54.162,6.656,7.115,9.028,,,,6.477,8.05,8.393,8.465,7.317,7.185,16.594,,8.503,7.201,9.65,8.122,19.759,7.133,,9.012,17.407,6.532,6.85,,,5.586,6.233,5.6
