Time,controller_network_packet_loss.mean {controllerid: 2828},controller_network_packet_loss.mean {controllerid: 2830},controller_network_packet_loss.mean {controllerid: 2831},controller_network_packet_loss.mean {controllerid: 2832},controller_network_packet_loss.mean {controllerid: 2833},controller_network_packet_loss.mean {controllerid: 2834},controller_network_packet_loss.mean {controllerid: 2835},controller_network_packet_loss.mean {controllerid: 2836},controller_network_packet_loss.mean {controllerid: 2837},controller_network_packet_loss.mean {controllerid: 2838},controller_network_packet_loss.mean {controllerid: 2839},controller_network_packet_loss.mean {controllerid: 2840},controller_network_packet_loss.mean {controllerid: 2841},controller_network_packet_loss.mean {controllerid: 2842},controller_network_packet_loss.mean {controllerid: 2843},controller_network_packet_loss.mean {controllerid: 2844},controller_network_packet_loss.mean {controllerid: 2845},controller_network_packet_loss.mean {controllerid: 2846},controller_network_packet_loss.mean {controllerid: 2847},controller_network_packet_loss.mean {controllerid: 2848},controller_network_packet_loss.mean {controllerid: 2849},controller_network_packet_loss.mean {controllerid: 2850},controller_network_packet_loss.mean {controllerid: 2851},controller_network_packet_loss.mean {controllerid: 2852},controller_network_packet_loss.mean {controllerid: 2853},controller_network_packet_loss.mean {controllerid: 2854},controller_network_packet_loss.mean {controllerid: 2855},controller_network_packet_loss.mean {controllerid: 2856},controller_network_packet_loss.mean {controllerid: 2857},controller_network_packet_loss.mean {controllerid: 2858},controller_network_packet_loss.mean {controllerid: 2859},controller_network_packet_loss.mean {controllerid: 2860},controller_network_packet_loss.mean {controllerid: 2861},controller_network_packet_loss.mean {controllerid: 4416},controller_network_packet_loss.mean {controllerid: 8083},controller_network_packet_loss.mean {controllerid: 8084}
1633285800000,0,,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,,,0,,
1633285860000,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
1633285920000,0,0,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0
1633285980000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,,0,0
1633286040000,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0
1633286100000,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,,0,0,0
1633286160000,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,
1633286220000,0,0,,,0,,,,0,0,0,0,0,0,,0,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0
1633286280000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0
1633286340000,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,,0,0,,,0,0,0,0,0,,0,0
1633286400000,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,,0,0,0
