Time,controller_network_latency.mean {controllerid: 2828},controller_network_latency.mean {controllerid: 2830},controller_network_latency.mean {controllerid: 2831},controller_network_latency.mean {controllerid: 2832},controller_network_latency.mean {controllerid: 2833},controller_network_latency.mean {controllerid: 2834},controller_network_latency.mean {controllerid: 2835},controller_network_latency.mean {controllerid: 2836},controller_network_latency.mean {controllerid: 2837},controller_network_latency.mean {controllerid: 2838},controller_network_latency.mean {controllerid: 2839},controller_network_latency.mean {controllerid: 2840},controller_network_latency.mean {controllerid: 2841},controller_network_latency.mean {controllerid: 2842},controller_network_latency.mean {controllerid: 2843},controller_network_latency.mean {controllerid: 2844},controller_network_latency.mean {controllerid: 2845},controller_network_latency.mean {controllerid: 2846},controller_network_latency.mean {controllerid: 2847},controller_network_latency.mean {controllerid: 2848},controller_network_latency.mean {controllerid: 2849},controller_network_latency.mean {controllerid: 2850},controller_network_latency.mean {controllerid: 2851},controller_network_latency.mean {controllerid: 2852},controller_network_latency.mean {controllerid: 2853},controller_network_latency.mean {controllerid: 2854},controller_network_latency.mean {controllerid: 2855},controller_network_latency.mean {controllerid: 2856},controller_network_latency.mean {controllerid: 2857},controller_network_latency.mean {controllerid: 2858},controller_network_latency.mean {controllerid: 2859},controller_network_latency.mean {controllerid: 2860},controller_network_latency.mean {controllerid: 2861},controller_network_latency.mean {controllerid: 4416},controller_network_latency.mean {controllerid: 8083},controller_network_latency.mean {controllerid: 8084}
1633285800000,4.111,,3.219,2.951,,16.11,4.078,3.844,3.953,4.376,,,19.713,4.662,3.086,3.816,3.3,15.235,21.161,,14.902,4.18,3.703,,3.555,4.121,,14.909,15.085,5.092,15.09,,,1.13,,
1633285860000,3.559,1.147,9.42,15.388,15.017,14.799,14.139,14.837,,,2.943,15.528,3.766,5.188,4.473,4.678,27.454,15.02,21.002,14.756,15.422,4.239,7.587,15.751,14.427,13.533,,4.672,3.691,,2.941,3.835,3.03,1.846,1.699,2.064
1633285920000,17.275,2.14,,,24.507,,,,15.665,3.727,4.225,14.457,3.499,15.173,5.4,3.647,,6.091,9.718,25.036,,,15.717,4.156,13.85,,,3.603,15.708,3.202,3.337,9.547,3.864,2.527,1.528,1.621
1633285980000,58.807,2.229,13.758,13.781,18.802,15.31,16.281,3.008,15.933,3.821,4.088,4.054,3.691,,,14.103,3.328,12,9.012,15.128,14.577,13.728,7.723,25.004,,13.331,,26.567,,23.764,,12.758,20.971,,2.245,2.182
1633286040000,,2.214,42.747,116.21,38.686,43.74,14.714,3.319,3.786,17.925,2.91,4.103,,15.458,3.506,,3.353,,,4.183,3.846,3.978,,,4.061,3.149,,,14.881,14.631,4.761,35.358,22.246,2.003,1.859,2.316
1633286100000,3.974,2.313,4.64,3.59,,4.193,18.561,4.072,3.536,16.382,,,14.892,14.738,4.221,6.074,3.542,4.342,22.99,,15.862,3.64,15.639,4.085,2.827,4.812,,15.521,3.243,2.175,13.777,,,1.745,1.452,2.062
1633286160000,19.694,,15.289,77.72,33.451,75.552,4.661,15.069,,,3.233,4.21,3.338,14.296,15.01,3.239,14.423,3.423,24.941,14.916,3.745,23.871,15.382,14.184,3.891,14.376,,3.309,14.027,,4.287,8.809,8.591,1.305,,
1633286220000,41.229,2.083,,,4.804,,,,16.549,4.327,3.306,3.707,14.836,14.804,,3.132,,6.12,13.1,3.983,,,5.43,4.094,15.24,,,4.861,3.461,3.735,2.973,3.635,3.69,2.53,2.059,2.534
1633286280000,4.588,2.736,25.67,13.864,15.761,2.774,12.897,2.904,4.372,6.156,4.099,4.296,25.18,,5.826,14.667,3.659,3.489,18.856,3.116,3.839,14.401,5.859,14.93,,15.262,,13.997,,15.079,,4.516,3.052,1.881,0.748,1.622
1633286340000,,2.45,2.642,3.622,35.857,3.597,18.947,15.949,3.338,4.894,2.816,3.764,,4.069,3.259,,3.681,,,4.109,16.061,13.783,,,3.504,3.837,,,27.232,13.888,2.96,43.772,57.801,,2.236,1.723
1633286400000,37.754,2.619,41.745,21.835,,37.593,14.204,14.567,4.279,,,,3.351,3.622,4.16,4.96,15.947,13.828,11.125,,13.565,4.174,5.01,5.228,3.747,16.107,,14.661,4.134,3.563,3.734,,,1.576,2.14,2.893
1633286460000,23.776,,586.447,468.31,20.235,313.074,3.182,13.177,,4.39,2.94,3.601,3.877,4.83,15.953,4.216,12.907,14.995,25.353,14.88,4.038,25.854,5.331,3.974,3.791,,,4.209,13.911,,2.741,30.369,44.198,1.956,1.817,1.551
1633286520000,334.39,1.37,,,3.056,,,,4.055,3.75,3.877,3.546,14.704,13.832,,13.055,,3.889,9.273,15.223,,,16.042,3.453,19.279,14.287,,4.284,3.228,2.896,3.299,15.498,3.954,2.262,,
