Time,controller_raw_network_health.mean {controllerid: 2828},controller_raw_network_health.mean {controllerid: 2830},controller_raw_network_health.mean {controllerid: 2831},controller_raw_network_health.mean {controllerid: 2832},controller_raw_network_health.mean {controllerid: 2833},controller_raw_network_health.mean {controllerid: 2834},controller_raw_network_health.mean {controllerid: 2835},controller_raw_network_health.mean {controllerid: 2836},controller_raw_network_health.mean {controllerid: 2837},controller_raw_network_health.mean {controllerid: 2838},controller_raw_network_health.mean {controllerid: 2839},controller_raw_network_health.mean {controllerid: 2840},controller_raw_network_health.mean {controllerid: 2841},controller_raw_network_health.mean {controllerid: 2842},controller_raw_network_health.mean {controllerid: 2843},controller_raw_network_health.mean {controllerid: 2844},controller_raw_network_health.mean {controllerid: 2845},controller_raw_network_health.mean {controllerid: 2846},controller_raw_network_health.mean {controllerid: 2847},controller_raw_network_health.mean {controllerid: 2848},controller_raw_network_health.mean {controllerid: 2849},controller_raw_network_health.mean {controllerid: 2850},controller_raw_network_health.mean {controllerid: 2851},controller_raw_network_health.mean {controllerid: 2852},controller_raw_network_health.mean {controllerid: 2853},controller_raw_network_health.mean {controllerid: 2854},controller_raw_network_health.mean {controllerid: 2855},controller_raw_network_health.mean {controllerid: 2856},controller_raw_network_health.mean {controllerid: 2857},controller_raw_network_health.mean {controllerid: 2858},controller_raw_network_health.mean {controllerid: 2859},controller_raw_network_health.mean {controllerid: 2860},controller_raw_network_health.mean {controllerid: 2861},controller_raw_network_health.mean {controllerid: 4416},controller_raw_network_health.mean {controllerid: 8083},controller_raw_network_health.mean {controllerid: 8084}
1633285800000,77,,73,76,,93,100,86,76,100,,,73,127,100,100,100,100,100,,100,100,100,,100,80,,100,100,100,78,,,101,,
1633285860000,77,101,71,74,81,88,100,85,,,87,91,72,127,100,100,100,100,100,100,100,100,100,100,100,79,,100,100,,78,96,87,101,101,101
1633285920000,78,101,,,88,,,,77,100,88,87,73,127,100,100,,100,100,100,,,100,100,100,,,100,100,100,77,97,90,101,101,101
1633285980000,76,101,71,75,78,87,100,84,77,100,88,87,71,,,100,100,100,100,100,100,100,100,100,,85,,100,,100,,96,86,,101,101
1633286040000,,101,72,75,79,88,100,85,77,100,86,87,,127,100,,100,,,100,100,100,,,100,81,,,100,100,79,97,87,101,101,101
1633286100000,76,101,70,76,,89,100,86,79,100,,,71,127,100,100,100,100,100,,100,100,100,100,100,78,,100,100,100,82,,,101,101,101
1633286160000,77,,72,75,81,90,100,84,,,91,86,73,127,100,100,100,100,100,100,100,100,100,100,100,78,,100,100,,79,97,87,101,,
1633286220000,77,101,,,81,,,,77,100,88,86,73,127,,100,,100,100,100,,,100,100,100,,,100,100,100,81,97,88,101,101,101
1633286280000,78,101,70,77,80,90,100,85,77,100,90,86,71,,100,100,100,100,100,100,100,100,100,100,,79,,100,,100,,96,87,101,101,101
1633286340000,,101,70,75,80,89,100,84,77,100,87,88,,127,100,,100,,,100,100,100,,,100,81,,,100,100,80,97,86,,101,101
1633286400000,77,101,72,76,,88,100,85,79,,,,73,127,100,100,100,100,100,,100,100,100,100,100,78,,100,100,100,79,,,101,101,101
1633286460000,78,,73,76,77,88,100,84,,100,89,86,71,127,100,100,100,100,100,100,100,100,100,100,100,,,100,100,,81,96,86,101,101,101
1633286520000,75,101,,,77,,,,76,100,90,86,71,127,,100,,100,100,100,,,100,100,100,82,,100,100,100,77,96,86,101,,
1633286580000,,101,71,75,80,88,100,86,76,100,89,86,71,,100,100,100,100,100,100,100,100,100,100,,80,,100,,100,,96,87,101,101,101
1633286640000,85,101,71,73,,90,100,84,78,100,90,89,,127,100,,100,,,100,100,100,,,100,80,,,100,100,81,,86,101,101,101
1633286700000,76,101,70,74,77,90,100,86,,,,,72,127,100,100,100,100,100,,100,100,100,100,100,78,,100,100,100,78,97,,,101,101
1633286760000,86,101,71,75,79,89,100,85,77,100,88,88,71,127,100,100,100,100,100,100,100,100,100,100,100,,,100,100,,85,97,87,101,101,101
1633286820000,78,,,,82,,,,80,100,89,86,71,127,,100,,100,100,100,,,100,100,100,81,,100,100,100,78,97,89,101,,
1633286880000,,101,71,76,79,91,100,84,76,100,87,87,71,,100,100,100,100,100,100,100,100,100,100,,84,,100,,100,,97,85,101,101,101
1633286940000,85,101,70,77,,89,100,86,78,100,88,87,,127,100,,100,,,100,100,100,,,100,80,,,100,100,79,,,101,101,101
1633287000000,78,101,72,76,81,88,100,82,,,,,72,127,100,100,100,100,100,,100,100,100,100,100,79,,100,100,100,77,97,88,,101,101
1633287060000,78,101,71,,81,,100,,80,100,87,89,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,80,97,87,101,101,101
1633287120000,,101,,75,78,89,,84,80,100,88,86,72,127,,100,100,100,100,100,,,100,100,100,81,,100,100,100,82,97,88,101,101,101
1633287180000,76,,70,75,84,89,100,84,79,100,89,86,71,127,100,100,100,100,100,100,100,100,100,100,,79,,100,,100,,97,86,101,,
1633287240000,78,101,73,77,,90,100,84,76,100,,87,,,100,,100,,,100,100,100,,,100,81,,,100,100,81,,,101,101,101
1633287300000,77,101,71,75,83,88,100,83,,,88,,72,127,100,100,100,100,100,,100,100,100,100,100,79,,100,100,100,82,98,86,101,101,101
1633287360000,77,101,73,,86,,100,,79,100,92,86,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,79,97,89,,101,101
1633287420000,,101,,79,77,89,,84,78,100,86,86,71,127,,100,100,100,100,100,,,100,100,100,82,,100,100,100,78,97,86,101,101,101
1633287480000,76,,71,79,87,88,100,85,80,100,90,86,71,127,100,100,100,100,100,100,100,100,100,100,,86,,100,,100,,96,91,101,,101
1633287540000,76,101,71,74,,89,100,84,77,100,,87,,,100,,100,,,100,100,100,,,100,80,,,100,100,79,,,101,101,
1633287600000,79,101,70,75,80,86,100,85,,,88,,74,127,100,100,99,100,100,,100,100,100,100,100,83,,100,100,100,77,96,85,101,101,101
1633287660000,77,101,73,,87,,100,,78,100,88,86,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,77,98,87,101,101,101
1633287720000,,101,,81,78,88,,85,80,100,87,86,72,127,,100,100,100,100,100,,,100,100,100,79,,100,,100,78,96,86,,101,101
1633287780000,76,101,77,76,,87,100,84,80,100,88,89,70,127,100,100,100,100,100,100,100,100,,100,,83,,100,100,100,,,,101,101,101
1633287840000,79,,74,76,80,91,100,86,77,100,,87,,,100,,100,,,100,100,100,100,,100,79,,,100,100,79,98,88,101,,101
1633287900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633287960000,,,,,,,,,,,,,,127,100,,,,,,,,100,,,,,,100,,,97,,,101,
1633288020000,,101,,76,,,,85,79,100,88,87,,127,,100,100,100,100,,,,100,,100,,,100,100,100,83,95,,,101,101
1633288080000,76,101,75,81,,88,100,84,79,100,86,87,71,127,100,,100,,99,100,100,100,,,,80,,100,,100,,,,101,101,101
1633288140000,77,101,74,74,79,89,100,85,76,100,,,,,100,100,100,100,,100,100,100,100,100,100,78,,,100,100,81,96,88,101,101,101
1633288200000,76,,71,79,78,,100,84,,,88,87,73,127,100,100,100,100,100,,100,100,100,100,100,82,,100,100,100,80,97,88,101,,
1633288260000,77,101,70,,82,86,100,,78,100,86,86,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,81,97,86,101,101,101
1633288320000,,101,,75,79,86,,85,80,100,88,86,72,127,,100,100,100,100,100,,,100,100,100,79,,100,,100,,96,88,101,101,101
1633288380000,78,101,70,77,,88,100,84,78,100,86,87,70,127,100,,100,,100,100,100,100,,,,81,,100,100,100,80,,,,101,101
1633288440000,79,101,70,76,79,87,100,86,77,,,,,,100,100,100,100,,100,100,100,100,100,100,79,,,100,100,83,97,88,101,101,101
